"nflId","gameId","ngsPlayId","gsisPlayId","time","isOnField","x","y","s","dis","event","ndx","team","millisecs_since_epoch","displayName","position","positionGroup","jerseyNumber","height","weight","team.fullName","top_speed","next_x","next_y","circle1_x","circle1_y","circle1_r","circle2_x","circle2_y","circle2_r","weight_kg"
"2495453","3","685","3502","2016-01-03T23:53:34.700",TRUE,63.83,23.06,0.16,0.02,NA,1,"HOME",1451865214.7,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.83,23.04,63.83,23.0574041005784,0.0119376061887718,63.83,23.0548082011568,0.0159168082516957,106.59412
"2495453","3","685","3502","2016-01-03T23:53:34.800",TRUE,63.83,23.04,0.17,0.02,NA,2,"HOME",1451865214.8,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.83,23,63.83,23.0344837137291,0.02411741315114,63.83,23.0289674274581,0.0321565508681867,106.59412
"2495453","3","685","3502","2016-01-03T23:53:34.900",TRUE,63.83,23,0.17,0.04,NA,3,"HOME",1451865214.9,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.82,22.96,63.8286209284323,22.9944837137291,0.0248596604597024,63.8272418568645,22.9889674274581,0.0331462139462699,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.000",TRUE,63.82,22.96,0.15,0.03,NA,4,"HOME",1451865215,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.8,22.94,63.8175663442922,22.9575663442922,0.0167110627650128,63.8151326885845,22.9551326885845,0.022281417020017,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.100",TRUE,63.8,22.94,0.13,0.03,NA,5,"HOME",1451865215.1,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.78,22.92,63.7978908317199,22.9378908317199,0.0163685391461724,63.7957816634399,22.9357816634399,0.0218247188615632,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.200",TRUE,63.78,22.92,0.11,0.03,NA,6,"HOME",1451865215.2,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.77,22.87,63.7791076595738,22.9155382978691,0.0288913103625976,63.7782153191476,22.9110765957382,0.0385217471501302,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.300",TRUE,63.77,22.87,0.09,0.05,NA,7,"HOME",1451865215.3,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.77,22.82,63.77,22.8663495164384,0.027724758702961,63.77,22.8626990328767,0.0369663449372814,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.400",TRUE,63.77,22.82,0.07,0.05,NA,8,"HOME",1451865215.4,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.77,22.78,63.77,22.8177285880061,0.021695405415175,63.77,22.8154571760122,0.0289272072202334,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.500",TRUE,63.77,22.78,0.07,0.04,NA,9,"HOME",1451865215.5,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.78,22.74,63.7705678529985,22.7777285880061,0.0223631120293427,63.771135705997,22.7754571760122,0.0298174827057902,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.600",TRUE,63.78,22.74,0.07,0.03,NA,10,"HOME",1451865215.6,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.79,22.72,63.7805678529985,22.738864294003,0.0121281003269367,63.781135705997,22.7377285880061,0.0161708004359156,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.700",TRUE,63.79,22.72,0.05,0.03,NA,11,"HOME",1451865215.7,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.8,22.71,63.7904056092846,22.7195943907154,0.00749922233541077,63.7908112185693,22.7191887814307,0.00999896311388102,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.800",TRUE,63.8,22.71,0.07,0.02,NA,12,"HOME",1451865215.8,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.82,22.72,63.801135705997,22.7105678529985,0.0121281003269384,63.8022714119939,22.711135705997,0.0161708004359179,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.900",TRUE,63.82,22.72,0.12,0.02,NA,13,"HOME",1451865215.9,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.82,22.75,63.82,22.7229203868493,0.0171798069623692,63.82,22.7258407736986,0.0229064092831589,106.59412
"2495453","3","685","3502","2016-01-03T23:53:36.000",TRUE,63.82,22.75,0.16,0.02,NA,14,"HOME",1451865216,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.82,22.78,63.82,22.7538938491324,0.0179064092831587,63.82,22.7577876982648,0.0238752123775449,106.59412
"2495453","3","685","3502","2016-01-03T23:53:36.100",TRUE,63.82,22.78,0.2,0.04,NA,15,"HOME",1451865216.1,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.82,22.83,63.82,22.7881121856925,0.0310550193399107,63.82,22.7962243713851,0.0414066924532143,106.59412
"2495453","3","685","3502","2016-01-03T23:53:36.200",TRUE,63.82,22.83,0.25,0.05,NA,16,"HOME",1451865216.2,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.83,22.88,63.8220280464231,22.8401402321157,0.033213763010313,63.8240560928463,22.8502804642314,0.044285017347084,106.59412
"2495453","3","685","3502","2016-01-03T23:53:36.300",TRUE,63.83,22.88,0.29,0.05,NA,17,"HOME",1451865216.3,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.82,22.91,63.8276474661492,22.8870576015525,0.0213642074940851,63.8252949322983,22.894115203105,0.0284856099921135,106.59412
"2495453","3","685","3502","2016-01-03T23:53:36.400",TRUE,63.82,22.91,0.33,0.03,NA,18,"HOME",1451865216.4,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.8,22.94,63.8146459574429,22.9180310638356,0.0252322116696355,63.8092919148858,22.9260621276712,0.0336429488928473,106.59412
"2495453","3","685","3502","2016-01-03T23:53:36.500",TRUE,63.8,22.94,0.36,0.04,NA,19,"HOME",1451865216.5,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.77,22.98,63.7912388394521,22.9516815473973,0.0358990348118395,63.7824776789041,22.9633630947945,0.0478653797491193,106.59412
"2495453","3","685","3502","2016-01-03T23:53:36.600",TRUE,63.77,22.98,0.37,0.06,NA,20,"HOME",1451865216.6,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.73,23.06,63.757993965175,23.0040120696499,0.0647597231266948,63.7459879303501,23.0280241392998,0.0863462975022597,106.59412
"2495453","3","685","3502","2016-01-03T23:53:36.700",TRUE,63.73,23.06,0.37,0.08,NA,21,"HOME",1451865216.7,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.69,23.13,63.717993965175,23.0810105609437,0.0583736255795363,63.7059879303501,23.1020211218874,0.0778315007727151,106.59412
"2495453","3","685","3502","2016-01-03T23:53:36.800",TRUE,63.69,23.13,0.34,0.08,NA,22,"HOME",1451865216.8,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.64,23.18,63.6762092843227,23.1437907156773,0.049912592859917,63.6624185686454,23.1575814313546,0.0665501238132226,106.59412
"2495453","3","685","3502","2016-01-03T23:53:36.900",TRUE,63.64,23.18,0.29,0.07,NA,23,"HOME",1451865216.9,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.59,23.22,63.6282373307458,23.1894101354033,0.0432592231042828,63.6164746614916,23.1988202708067,0.0576789641390437,106.59412
"2495453","3","685","3502","2016-01-03T23:53:37.000",TRUE,63.59,23.22,0.22,0.07,NA,24,"HOME",1451865217,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.55,23.26,63.5828612765906,23.2271387234094,0.0358197908618893,63.5757225531811,23.2342774468189,0.0477597211491857,106.59412
"2495453","3","685","3502","2016-01-03T23:53:37.100",TRUE,63.55,23.26,0.17,0.06,NA,25,"HOME",1451865217.1,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",9.87,63.52,23.29,63.5458627852968,23.2641372147032,0.02558037957577,63.5417255705936,23.2682744294064,0.0341071727676934,106.59412
