"nflId","gameId","ngsPlayId","gsisPlayId","time","isOnField","x","y","s","dis","event","ndx","team","millisecs_since_epoch","displayName","position","positionGroup","jerseyNumber","height","weight","team.fullName","top_speed","next_x","next_y","circle1_x","circle1_y","circle1_r","circle2_x","circle2_y","circle2_r","weight_kg"
"282","2","430","2034","2015-12-13T19:26:15.800",TRUE,38.84,26.76,0.09,0.37,NA,1,"AWAY",1450034775.8,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.82,26.48,38.8381048553425,26.7334679747945,0.155654212813951,38.8362097106849,26.706935949589,0.207538950418602,138.34556
"282","2","430","2034","2015-12-13T19:26:15.900",TRUE,38.82,26.48,0.14,0.29,NA,2,"AWAY",1450034775.9,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.73,26.42,38.8067339873973,26.4711559915982,0.063252575867633,38.7934679747945,26.4623119831963,0.0843367678235107,138.34556
"282","2","430","2034","2015-12-13T19:26:16.000",TRUE,38.73,26.42,0.11,0.11,NA,3,"AWAY",1450034776,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.57,26.42,38.7114696966819,26.42,0.0906568340382441,38.6929393933638,26.42,0.120875778717659,138.34556
"282","2","430","2034","2015-12-13T19:26:16.100",TRUE,38.57,26.42,0.16,0.16,NA,4,"AWAY",1450034776.1,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.41,26.44,38.5430468315373,26.4233691460578,0.096244057991566,38.5160936630746,26.4267382921157,0.128325410655421,138.34556
"282","2","430","2034","2015-12-13T19:26:16.200",TRUE,38.41,26.44,0.32,0.16,NA,5,"AWAY",1450034776.2,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.29,26.49,38.3695702473059,26.4568457302892,0.0901888804540337,38.3291404946119,26.4736914605784,0.120251840605378,138.34556
"282","2","430","2034","2015-12-13T19:26:16.300",TRUE,38.29,26.49,0.47,0.13,NA,6,"AWAY",1450034776.3,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.15,26.56,38.2207219341857,26.5246390329072,0.122807119866099,38.1514438683714,26.5592780658143,0.163742826488132,138.34556
"282","2","430","2034","2015-12-13T19:26:16.400",TRUE,38.15,26.56,0.45,0.16,NA,7,"AWAY",1450034776.4,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.1,26.59,38.1263106917808,26.5742135849315,0.0450426963962496,38.1026213835616,26.588427169863,0.0600569285283328,138.34556
"282","2","430","2034","2015-12-13T19:26:16.500",TRUE,38.1,26.59,0.35,0.06,NA,8,"AWAY",1450034776.5,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.1,26.69,38.1,26.6268500350076,0.0711925676896948,38.1,26.6637000700152,0.0949234235862598,138.34556
"282","2","430","2034","2015-12-13T19:26:16.600",TRUE,38.1,26.69,0.26,0.09,NA,9,"AWAY",1450034776.6,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.18,26.77,38.121899449376,26.711899449376,0.0743797706744684,38.1437988987519,26.7337988987519,0.0991730275659579,138.34556
"282","2","430","2034","2015-12-13T19:26:16.700",TRUE,38.18,26.77,0.27,0.12,NA,10,"AWAY",1450034776.7,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.24,26.8,38.1970563019178,26.7785281509589,0.044507961890286,38.2141126038356,26.7870563019178,0.059343949187048,138.34556
"282","2","430","2034","2015-12-13T19:26:16.800",TRUE,38.24,26.8,0.37,0.07,NA,11,"AWAY",1450034776.8,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.3,26.84,38.2633734507763,26.8155823005175,0.0522109579555824,38.2867469015525,26.831164601035,0.0696146106074431,138.34556
"282","2","430","2034","2015-12-13T19:26:16.900",TRUE,38.3,26.84,0.39,0.07,NA,12,"AWAY",1450034776.9,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.36,26.91,38.3246368805479,26.8687430273059,0.0678692850841614,38.3492737610959,26.8974860546119,0.0904923801122153,138.34556
"282","2","430","2034","2015-12-13T19:26:17.000",TRUE,38.36,26.91,0.36,0.09,NA,13,"AWAY",1450034777,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.38,26.95,38.3675805786301,26.9251611572603,0.032109072866365,38.3751611572603,26.9403223145205,0.0428120971551533,138.34556
"282","2","430","2034","2015-12-13T19:26:17.100",TRUE,38.38,26.95,0.36,0.04,NA,14,"AWAY",1450034777.1,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.4,26.97,38.3875805786301,26.9575805786301,0.0203075607628024,38.3951611572603,26.9651611572603,0.0270767476837365,138.34556
"282","2","430","2034","2015-12-13T19:26:17.200",TRUE,38.4,26.97,0.36,0.02,NA,15,"AWAY",1450034777.2,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.4,26.98,38.4,26.9737902893151,0.00717980696236963,38.4,26.9775805786301,0.00957307594982617,138.34556
"282","2","430","2034","2015-12-13T19:26:17.300",TRUE,38.4,26.98,0.37,0.01,NA,16,"AWAY",1450034777.3,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.4,26.98,38.4,26.98,0,38.4,26.98,0,138.34556
"282","2","430","2034","2015-12-13T19:26:17.400",TRUE,38.4,26.98,0.27,0,NA,17,"AWAY",1450034777.4,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.41,26.98,38.4028427169863,26.98,0.00663485522177506,38.4056854339726,26.98,0.00884647362903341,138.34556
"282","2","430","2034","2015-12-13T19:26:17.500",TRUE,38.41,26.98,0.18,0,NA,18,"AWAY",1450034777.5,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.41,26.98,38.41,26.98,0,38.41,26.98,0,138.34556
"282","2","430","2034","2015-12-13T19:26:17.600",TRUE,38.41,26.98,0.13,0,NA,19,"AWAY",1450034777.6,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.39,26.98,38.407262568828,26.98,0.011574305028375,38.404525137656,26.98,0.0154324067044999,138.34556
"282","2","430","2034","2015-12-13T19:26:17.700",TRUE,38.39,26.98,0.21,0.02,NA,20,"AWAY",1450034777.7,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.37,26.97,38.3855779957991,26.9777889978995,0.0140236212058164,38.3811559915982,26.9755779957991,0.0186981616077552,138.34556
"282","2","430","2034","2015-12-13T19:26:17.800",TRUE,38.37,26.97,0.22,0.02,NA,21,"AWAY",1450034777.8,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.35,26.97,38.3653674241705,26.97,0.012664208509559,38.3607348483409,26.97,0.0168856113460787,138.34556
"282","2","430","2034","2015-12-13T19:26:17.900",TRUE,38.35,26.97,0.32,0.02,NA,22,"AWAY",1450034777.9,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.33,26.96,38.3432617078843,26.9666308539422,0.0155129590392188,38.3365234157686,26.9632617078843,0.020683945385625,138.34556
"282","2","430","2034","2015-12-13T19:26:18.000",TRUE,38.33,26.96,0.55,0.02,NA,23,"AWAY",1450034778,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.31,26.96,38.3184185604262,26.96,0.0166605212739005,38.3068371208524,26.96,0.0222140283652006,138.34556
"282","2","430","2034","2015-12-13T19:26:18.100",TRUE,38.31,26.96,0.7,0.02,NA,24,"AWAY",1450034778.1,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.29,26.95,38.295259985997,26.9526299929985,0.0206579442818864,38.2805199719939,26.945259985997,0.0275439257091818,138.34556
"282","2","430","2034","2015-12-13T19:26:18.200",TRUE,38.29,26.95,0.93,0.02,NA,25,"AWAY",1450034778.2,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.17,26.87,38.1725010312329,26.8716673541553,0.153324885168085,38.0550020624658,26.7933347083105,0.204433180224113,138.34556
"282","2","430","2034","2015-12-13T19:26:18.300",TRUE,38.17,26.87,1.12,0.14,NA,26,"AWAY",1450034778.3,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.15,26.85,38.1464159775951,26.8464159775951,0.0333234582786291,38.1228319551903,26.8228319551903,0.0444312777048388,138.34556
"282","2","430","2034","2015-12-13T19:26:18.400",TRUE,38.15,26.85,1.35,0.03,NA,27,"AWAY",1450034778.4,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.19,26.88,38.206854339726,26.8926407547945,0.0658713805444067,38.2637086794521,26.935281509589,0.0878285073925422,138.34556
"282","2","430","2034","2015-12-13T19:26:18.500",TRUE,38.19,26.88,1.57,0.05,NA,28,"AWAY",1450034778.5,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.32,26.99,38.4048883470015,27.061828601309,0.247034755983902,38.6197766940031,27.243657202618,0.329379674645202,138.34556
"282","2","430","2034","2015-12-13T19:26:18.600",TRUE,38.32,26.99,1.66,0.17,NA,29,"AWAY",1450034778.6,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.46,26.92,38.5646842324505,26.8676578837747,0.235590612159269,38.8093684649011,26.7453157675495,0.314120816212359,138.34556
"282","2","430","2034","2015-12-13T19:26:18.700",TRUE,38.46,26.92,1.74,0.16,"snap",30,"AWAY",1450034778.7,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.64,26.73,38.789755170411,26.5719250978995,0.40660906133629,39.1195103408219,26.2238501957991,0.542145415115054,138.34556
"282","2","430","2034","2015-12-13T19:26:18.800",TRUE,38.64,26.73,1.78,0.27,NA,31,"AWAY",1450034778.8,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,38.98,26.76,39.2771897481887,26.7862226248402,0.538533977711672,39.9143794963775,26.8424452496804,0.718045303615563,138.34556
"282","2","430","2034","2015-12-13T19:26:18.900",TRUE,38.98,26.76,1.84,0.34,NA,32,"AWAY",1450034778.9,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,39.21,26.92,39.4255695661492,27.0699614373212,0.452242740888508,39.8711391322983,27.3799228746423,0.602990321184677,138.34556
"282","2","430","2034","2015-12-13T19:26:19.000",TRUE,39.21,26.92,1.9,0.27,NA,33,"AWAY",1450034779,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,39.51,26.92,39.8101291415525,26.92,0.495136102375009,40.410258283105,26.92,0.660181469833345,138.34556
"282","2","430","2034","2015-12-13T19:26:19.100",TRUE,39.51,26.92,2.1,0.3,NA,34,"AWAY",1450034779.1,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,39.76,26.91,40.0627505251142,26.8978899789954,0.443242684546625,40.6155010502283,26.8757799579909,0.590990246062167,138.34556
"282","2","430","2034","2015-12-13T19:26:19.200",TRUE,39.76,26.91,2.36,0.24,NA,35,"AWAY",1450034779.2,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,40.06,26.89,40.5054235652968,26.8603050956469,0.579979933264329,41.2508471305936,26.8106101912938,0.773306577685772,138.34556
"282","2","430","2034","2015-12-13T19:26:19.300",TRUE,40.06,26.89,2.58,0.31,NA,36,"AWAY",1450034779.3,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,40.35,26.96,40.8477484626484,27.0801461806393,0.615211904649488,41.6354969252968,27.2702923612785,0.820282539532651,138.34556
"282","2","430","2034","2015-12-13T19:26:19.400",TRUE,40.35,26.96,2.75,0.3,NA,37,"AWAY",1450034779.4,"Deone Benford","DE","DL","90","6-6","305","Berlin Thunder",7.83,40.64,27.11,41.189654369102,27.3943039840183,0.706907588693078,42.029308738204,27.8286079680365,0.942543451590771,138.34556
